,Temperature (K),Volume (angstrom^3),C4 Number,C4 Loading
0,403.0,715827882.6666666,8.75,2.9830558333333332
1,403.0,715827882.6666666,8.75,2.8438658333333335
2,403.0,715827882.6666666,8.75,2.774259166666667
3,403.0,715827882.6666666,8.75,3.0297366666666665
4,403.0,715827882.6666666,8.75,2.7621708333333337
5,403.0,715827882.6666666,8.75,2.7290608333333335
6,403.0,715827882.6666666,8.75,2.5438116666666666
7,403.0,715827882.6666666,8.75,3.0206741666666663
8,403.0,715827882.6666666,8.75,2.9352058333333333
9,403.0,715827882.6666666,8.75,2.4063008333333333
10,403.0,715827882.6666666,8.75,2.7949183333333334
11,403.0,715827882.6666666,8.75,2.2880241666666667
12,403.0,715827882.6666666,8.75,2.6612116666666665
13,403.0,715827882.6666666,8.75,2.753235
14,403.0,715827882.6666666,8.75,2.6543591666666666
15,403.0,715827882.6666666,8.75,2.7515474999999996
16,403.0,715827882.6666666,8.75,2.6462858333333332
17,403.0,715827882.6666666,8.75,2.739205
18,403.0,715827882.6666666,8.75,2.5988191666666665
19,403.0,715827882.6666666,8.75,2.8691675
20,403.0,715827882.6666666,8.75,2.9599683333333338
21,403.0,715827882.6666666,8.75,2.6585225
22,403.0,715827882.6666666,8.75,2.4740491666666666
23,403.0,715827882.6666666,8.75,2.42374
24,403.0,715827882.6666666,8.75,2.6449525
25,403.0,715827882.6666666,8.75,2.2794891666666666
26,403.0,715827882.6666666,8.75,2.89983
27,403.0,715827882.6666666,8.75,2.6199641666666666
28,403.0,715827882.6666666,8.75,2.720641666666667
29,403.0,715827882.6666666,8.75,3.0279900000000004
30,403.0,715827882.6666666,8.75,3.0891875
31,403.0,715827882.6666666,8.75,3.1364708333333335
32,403.0,9216.0,8.75,8.749083333333333
33,403.0,9216.0,8.75,8.748491666666666
34,403.0,9216.0,8.75,8.749258333333334
35,403.0,9216.0,8.75,8.749283333333333
36,403.0,9216.0,8.75,8.749233333333333
37,403.0,9216.0,8.75,8.74825
38,403.0,9216.0,8.75,8.74865
39,403.0,9216.0,8.75,8.749433333333334
40,403.0,9216.0,8.75,8.749075
41,403.0,9216.0,8.75,8.748808333333333
42,403.0,9216.0,8.75,8.74905
43,403.0,9216.0,8.75,8.74845
44,403.0,9216.0,8.75,8.749191666666666
45,403.0,9216.0,8.75,8.7493
46,403.0,9216.0,8.75,8.749233333333333
47,403.0,9216.0,8.75,8.749483333333332
48,403.0,9216.0,8.75,8.748733333333334
49,403.0,9216.0,8.75,8.7489
50,403.0,9216.0,8.75,8.749408333333333
51,403.0,9216.0,8.75,8.748616666666667
52,403.0,9216.0,8.75,8.748508333333334
53,403.0,9216.0,8.75,8.749358333333333
54,403.0,9216.0,8.75,8.749533333333334
55,403.0,9216.0,8.75,8.748816666666666
56,403.0,9216.0,8.75,8.748866666666666
57,403.0,9216.0,8.75,8.748383333333333
58,403.0,9216.0,8.75,8.748666666666667
59,403.0,9216.0,8.75,8.748316666666666
60,403.0,9216.0,8.75,8.749175
61,403.0,9216.0,8.75,8.748383333333333
62,403.0,9216.0,8.75,8.74905
63,403.0,9216.0,8.75,8.748975
64,403.0,366503875925.3333,8.75,0.0019859958333333333
65,403.0,366503875925.3333,8.75,0.0018566183333333334
66,403.0,366503875925.3333,8.75,0.0018223858333333333
67,403.0,366503875925.3333,8.75,0.00203252
68,403.0,366503875925.3333,8.75,0.0019908866666666666
69,403.0,366503875925.3333,8.75,0.0020736450000000003
70,403.0,366503875925.3333,8.75,0.002035898333333333
71,403.0,366503875925.3333,8.75,0.002064239166666667
72,403.0,366503875925.3333,8.75,0.0021503816666666666
73,403.0,366503875925.3333,8.75,0.0019675408333333336
74,403.0,366503875925.3333,8.75,0.0019260924999999999
75,403.0,366503875925.3333,8.75,0.00236665
76,403.0,366503875925.3333,8.75,0.0019607841666666667
77,403.0,366503875925.3333,8.75,0.0020274658333333333
78,403.0,366503875925.3333,8.75,0.0020158816666666665
79,403.0,366503875925.3333,8.75,0.0019856708333333335
80,403.0,366503875925.3333,8.75,0.0019621275
81,403.0,366503875925.3333,8.75,0.0019854841666666666
82,403.0,366503875925.3333,8.75,0.0019044508333333334
83,403.0,366503875925.3333,8.75,0.002071766666666667
84,403.0,366503875925.3333,8.75,0.0019141066666666668
85,403.0,366503875925.3333,8.75,0.0018018016666666668
86,403.0,366503875925.3333,8.75,0.002125655833333333
87,403.0,366503875925.3333,8.75,0.0022258875
88,403.0,366503875925.3333,8.75,0.0020436708333333334
89,403.0,366503875925.3333,8.75,0.0018036916666666668
90,403.0,366503875925.3333,8.75,0.0018631433333333334
91,403.0,366503875925.3333,8.75,0.0018743691666666667
92,403.0,366503875925.3333,8.75,0.0020248383333333333
93,403.0,366503875925.3333,8.75,0.0020426675
94,403.0,366503875925.3333,8.75,0.002026466666666667
95,403.0,366503875925.3333,8.75,0.0021068566666666666
96,403.0,21845.333333333332,8.75,8.747458333333332
97,403.0,21845.333333333332,8.75,8.744808333333333
98,403.0,21845.333333333332,8.75,8.745099999999999
99,403.0,21845.333333333332,8.75,8.742166666666668
100,403.0,21845.333333333332,8.75,8.748099999999999
101,403.0,21845.333333333332,8.75,8.745700000000001
102,403.0,21845.333333333332,8.75,8.745891666666667
103,403.0,21845.333333333332,8.75,8.744591666666667
104,403.0,21845.333333333332,8.75,8.747991666666666
105,403.0,21845.333333333332,8.75,8.745841666666667
106,403.0,21845.333333333332,8.75,8.745591666666668
107,403.0,21845.333333333332,8.75,8.746691666666667
108,403.0,21845.333333333332,8.75,8.743958333333333
109,403.0,21845.333333333332,8.75,8.748566666666667
110,403.0,21845.333333333332,8.75,8.747133333333332
111,403.0,21845.333333333332,8.75,8.746616666666666
112,403.0,21845.333333333332,8.75,8.7455
113,403.0,21845.333333333332,8.75,8.747758333333334
114,403.0,21845.333333333332,8.75,8.745508333333333
115,403.0,21845.333333333332,8.75,8.746075
116,403.0,21845.333333333332,8.75,8.747633333333333
117,403.0,21845.333333333332,8.75,8.747283333333334
118,403.0,21845.333333333332,8.75,8.747716666666667
119,403.0,21845.333333333332,8.75,8.745933333333333
120,403.0,21845.333333333332,8.75,8.746583333333334
121,403.0,21845.333333333332,8.75,8.745658333333333
122,403.0,21845.333333333332,8.75,8.746583333333334
123,403.0,21845.333333333332,8.75,8.747733333333334
124,403.0,21845.333333333332,8.75,8.747766666666667
125,403.0,21845.333333333332,8.75,8.747425
126,403.0,21845.333333333332,8.75,8.746266666666667
127,403.0,21845.333333333332,8.75,8.7487
128,403.0,1.2009599006321322e+16,8.75,0.0
129,403.0,1.2009599006321322e+16,8.75,3.3188633333333333e-06
130,403.0,1.2009599006321322e+16,8.75,0.0
131,403.0,1.2009599006321322e+16,8.75,0.0
132,403.0,1.2009599006321322e+16,8.75,0.0
133,403.0,1.2009599006321322e+16,8.75,0.0
134,403.0,1.2009599006321322e+16,8.75,0.0
135,403.0,1.2009599006321322e+16,8.75,3.2711808333333332e-06
136,403.0,1.2009599006321322e+16,8.75,0.0
137,403.0,1.2009599006321322e+16,8.75,0.0
138,403.0,1.2009599006321322e+16,8.75,0.0
139,403.0,1.2009599006321322e+16,8.75,0.0
140,403.0,1.2009599006321322e+16,8.75,0.0
141,403.0,1.2009599006321322e+16,8.75,0.0
142,403.0,1.2009599006321322e+16,8.75,0.0
143,403.0,1.2009599006321322e+16,8.75,0.0
144,403.0,1.2009599006321322e+16,8.75,0.0
145,403.0,1.2009599006321322e+16,8.75,0.0
146,403.0,1.2009599006321322e+16,8.75,0.0
147,403.0,1.2009599006321322e+16,8.75,0.0
148,403.0,1.2009599006321322e+16,8.75,0.0
149,403.0,1.2009599006321322e+16,8.75,0.0
150,403.0,1.2009599006321322e+16,8.75,0.0
151,403.0,1.2009599006321322e+16,8.75,0.0
152,403.0,1.2009599006321322e+16,8.75,0.0
153,403.0,1.2009599006321322e+16,8.75,0.0
154,403.0,1.2009599006321322e+16,8.75,0.0
155,403.0,1.2009599006321322e+16,8.75,0.0
156,403.0,1.2009599006321322e+16,8.75,0.0
157,403.0,1.2009599006321322e+16,8.75,0.0
158,403.0,1.2009599006321322e+16,8.75,0.0
159,403.0,1.2009599006321322e+16,8.75,0.0
160,403.0,1501199875790165.2,8.75,0.0
161,403.0,1501199875790165.2,8.75,0.0
162,403.0,1501199875790165.2,8.75,0.0
163,403.0,1501199875790165.2,8.75,0.0
164,403.0,1501199875790165.2,8.75,0.0
165,403.0,1501199875790165.2,8.75,0.0
166,403.0,1501199875790165.2,8.75,0.0
167,403.0,1501199875790165.2,8.75,3.416840833333333e-06
168,403.0,1501199875790165.2,8.75,0.0
169,403.0,1501199875790165.2,8.75,0.0
170,403.0,1501199875790165.2,8.75,0.0
171,403.0,1501199875790165.2,8.75,0.0
172,403.0,1501199875790165.2,8.75,0.0
173,403.0,1501199875790165.2,8.75,3.4183825e-06
174,403.0,1501199875790165.2,8.75,0.0
175,403.0,1501199875790165.2,8.75,0.0
176,403.0,1501199875790165.2,8.75,0.0
177,403.0,1501199875790165.2,8.75,0.0
178,403.0,1501199875790165.2,8.75,0.0
179,403.0,1501199875790165.2,8.75,0.0
180,403.0,1501199875790165.2,8.75,0.0
181,403.0,1501199875790165.2,8.75,0.0
182,403.0,1501199875790165.2,8.75,0.0
183,403.0,1501199875790165.2,8.75,0.0
184,403.0,1501199875790165.2,8.75,0.0
185,403.0,1501199875790165.2,8.75,0.0
186,403.0,1501199875790165.2,8.75,0.0
187,403.0,1501199875790165.2,8.75,0.0
188,403.0,1501199875790165.2,8.75,0.0
189,403.0,1501199875790165.2,8.75,0.0
190,403.0,1501199875790165.2,8.75,0.0
191,403.0,1501199875790165.2,8.75,0.0
192,403.0,187649984473770.66,8.75,6.7383625000000005e-06
193,403.0,187649984473770.66,8.75,3.421891666666667e-06
194,403.0,187649984473770.66,8.75,6.8378875e-06
195,403.0,187649984473770.66,8.75,1.02262e-05
196,403.0,187649984473770.66,8.75,3.3600791666666664e-06
197,403.0,187649984473770.66,8.75,0.0
198,403.0,187649984473770.66,8.75,6.6904849999999995e-06
199,403.0,187649984473770.66,8.75,6.624535e-06
200,403.0,187649984473770.66,8.75,0.0
201,403.0,187649984473770.66,8.75,6.7163675e-06
202,403.0,187649984473770.66,8.75,6.860686666666667e-06
203,403.0,187649984473770.66,8.75,6.833961666666666e-06
204,403.0,187649984473770.66,8.75,0.0
205,403.0,187649984473770.66,8.75,1.0109175e-05
206,403.0,187649984473770.66,8.75,3.3664591666666668e-06
207,403.0,187649984473770.66,8.75,6.721243333333333e-06
208,403.0,187649984473770.66,8.75,0.0
209,403.0,187649984473770.66,8.75,3.3131891666666668e-06
210,403.0,187649984473770.66,8.75,0.0
211,403.0,187649984473770.66,8.75,0.0
212,403.0,187649984473770.66,8.75,1.0110408333333334e-05
213,403.0,187649984473770.66,8.75,0.0
214,403.0,187649984473770.66,8.75,1.0217841666666667e-05
215,403.0,187649984473770.66,8.75,3.3629275e-06
216,403.0,187649984473770.66,8.75,3.4069225e-06
217,403.0,187649984473770.66,8.75,0.0
218,403.0,187649984473770.66,8.75,0.0
219,403.0,187649984473770.66,8.75,3.3452424999999998e-06
220,403.0,187649984473770.66,8.75,0.0
221,403.0,187649984473770.66,8.75,6.759131666666666e-06
222,403.0,187649984473770.66,8.75,3.400944166666667e-06
223,403.0,187649984473770.66,8.75,3.3690449999999996e-06
224,403.0,11184810.666666666,8.75,8.294964166666666
225,403.0,11184810.666666666,8.75,8.209134166666667
226,403.0,11184810.666666666,8.75,8.2238025
227,403.0,11184810.666666666,8.75,8.267824166666667
228,403.0,11184810.666666666,8.75,8.256395833333334
229,403.0,11184810.666666666,8.75,8.178918333333334
230,403.0,11184810.666666666,8.75,8.2987275
231,403.0,11184810.666666666,8.75,8.320958333333333
232,403.0,11184810.666666666,8.75,8.181925
233,403.0,11184810.666666666,8.75,8.259675
234,403.0,11184810.666666666,8.75,8.257685833333333
235,403.0,11184810.666666666,8.75,8.203515
236,403.0,11184810.666666666,8.75,8.2328075
237,403.0,11184810.666666666,8.75,8.166870833333332
238,403.0,11184810.666666666,8.75,8.2467375
239,403.0,11184810.666666666,8.75,8.263750833333333
240,403.0,11184810.666666666,8.75,8.254790833333333
241,403.0,11184810.666666666,8.75,8.197262499999999
242,403.0,11184810.666666666,8.75,8.310995833333333
243,403.0,11184810.666666666,8.75,8.235444166666666
244,403.0,11184810.666666666,8.75,8.193438333333333
245,403.0,11184810.666666666,8.75,8.238395833333334
246,403.0,11184810.666666666,8.75,8.245111666666666
247,403.0,11184810.666666666,8.75,8.3245775
248,403.0,11184810.666666666,8.75,8.21673
