,Temperature (K),Volume (angstrom^3),W Number,W Loading
0,383.0,23456248059221.332,2.5,0.0
1,383.0,23456248059221.332,2.5,0.0
2,383.0,23456248059221.332,2.5,0.0
3,383.0,23456248059221.332,2.5,0.0
4,383.0,23456248059221.332,2.5,0.0
5,383.0,23456248059221.332,2.5,0.0
6,383.0,23456248059221.332,2.5,0.0
7,383.0,23456248059221.332,2.5,0.0
8,383.0,23456248059221.332,2.5,0.0
9,383.0,23456248059221.332,2.5,0.0
10,383.0,23456248059221.332,2.5,0.0
11,383.0,23456248059221.332,2.5,0.0
12,383.0,23456248059221.332,2.5,0.0
13,383.0,23456248059221.332,2.5,0.0
14,383.0,23456248059221.332,2.5,0.0
15,383.0,23456248059221.332,2.5,0.0
16,383.0,23456248059221.332,2.5,0.0
17,383.0,23456248059221.332,2.5,0.0
18,383.0,23456248059221.332,2.5,0.0
19,383.0,23456248059221.332,2.5,0.0
20,383.0,23456248059221.332,2.5,0.0
21,383.0,23456248059221.332,2.5,0.0
22,383.0,23456248059221.332,2.5,0.0
23,383.0,23456248059221.332,2.5,0.0
24,383.0,23456248059221.332,2.5,0.0
25,383.0,23456248059221.332,2.5,0.0
26,383.0,23456248059221.332,2.5,0.0
27,383.0,23456248059221.332,2.5,0.0
28,383.0,23456248059221.332,2.5,0.0
29,383.0,23456248059221.332,2.5,0.0
30,383.0,23456248059221.332,2.5,0.0
31,383.0,23456248059221.332,2.5,0.0
32,383.0,89478485.33333333,2.5,0.0005475
33,383.0,89478485.33333333,2.5,0.0005633333333333333
34,383.0,89478485.33333333,2.5,0.0005558333333333333
35,383.0,89478485.33333333,2.5,0.0005758333333333334
36,383.0,89478485.33333333,2.5,0.0005116666666666667
37,383.0,89478485.33333333,2.5,0.0005533333333333333
38,383.0,89478485.33333333,2.5,0.0005208333333333333
39,383.0,89478485.33333333,2.5,0.000545
40,383.0,89478485.33333333,2.5,0.0005583333333333333
41,383.0,89478485.33333333,2.5,0.000535
42,383.0,89478485.33333333,2.5,0.000545
43,383.0,89478485.33333333,2.5,0.0005783333333333334
44,383.0,89478485.33333333,2.5,0.0005458333333333334
45,383.0,89478485.33333333,2.5,0.00054
46,383.0,89478485.33333333,2.5,0.0005825
47,383.0,89478485.33333333,2.5,0.0005375
48,383.0,89478485.33333333,2.5,0.00052
49,383.0,89478485.33333333,2.5,0.000555
50,383.0,89478485.33333333,2.5,0.0005641666666666667
51,383.0,89478485.33333333,2.5,0.000555
52,383.0,89478485.33333333,2.5,0.000585
53,383.0,89478485.33333333,2.5,0.0005833333333333334
54,383.0,89478485.33333333,2.5,0.0005041666666666667
55,383.0,89478485.33333333,2.5,0.0005325
56,383.0,89478485.33333333,2.5,0.0005458333333333334
57,383.0,89478485.33333333,2.5,0.000525
58,383.0,89478485.33333333,2.5,0.0005291666666666666
59,383.0,89478485.33333333,2.5,0.0005491666666666667
60,383.0,89478485.33333333,2.5,0.0005541666666666667
61,383.0,89478485.33333333,2.5,0.0005391666666666666
62,383.0,89478485.33333333,2.5,0.00057
63,383.0,89478485.33333333,2.5,0.0005658333333333333
64,383.0,21845.333333333332,2.5,1.545625
65,383.0,21845.333333333332,2.5,1.5662441666666667
66,383.0,21845.333333333332,2.5,1.5798641666666666
67,383.0,21845.333333333332,2.5,1.5646858333333336
68,383.0,21845.333333333332,2.5,1.5529791666666668
69,383.0,21845.333333333332,2.5,1.5738258333333333
70,383.0,21845.333333333332,2.5,1.5635375
71,383.0,21845.333333333332,2.5,1.584695
72,383.0,21845.333333333332,2.5,1.5402725000000002
73,383.0,21845.333333333332,2.5,1.5619341666666668
74,383.0,21845.333333333332,2.5,1.5364466666666667
75,383.0,21845.333333333332,2.5,1.5746591666666667
76,383.0,21845.333333333332,2.5,1.53925
77,383.0,21845.333333333332,2.5,1.5811266666666668
78,383.0,21845.333333333332,2.5,1.5310558333333333
79,383.0,21845.333333333332,2.5,1.5914624999999998
80,383.0,21845.333333333332,2.5,1.5390325
81,383.0,21845.333333333332,2.5,1.5693108333333334
82,383.0,21845.333333333332,2.5,1.5432658333333331
83,383.0,21845.333333333332,2.5,1.5455958333333333
84,383.0,21845.333333333332,2.5,1.5781908333333332
85,383.0,21845.333333333332,2.5,1.5481833333333332
86,383.0,21845.333333333332,2.5,1.5422500000000001
87,383.0,21845.333333333332,2.5,1.5583775
88,383.0,21845.333333333332,2.5,1.5251875000000001
89,383.0,21845.333333333332,2.5,1.5786475
90,383.0,21845.333333333332,2.5,1.5548183333333334
91,383.0,21845.333333333332,2.5,1.57256
