"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
353,524288,-3.393695e+01,8.383395e-01
493,512,-2.613442e+01,1.001753e-01
423,262144,-3.233170e+01,3.258062e+00
353,128,-4.235989e+01,2.298184e+00
463,48,-1.695107e+01,5.268607e-01
353,2048,-4.121502e+01,2.774397e-01
413,512,-3.149323e+01,3.147496e-01
463,128,-2.094933e+01,3.711984e-01
453,1024,-2.809769e+01,1.253577e-01
343,65536,-4.794721e+01,6.358531e+00
373,256,-3.476807e+01,9.943273e-01
343,32768,-4.575391e+01,7.866711e+00
443,512,-2.963891e+01,1.393876e-01
453,4096,-2.753303e+01,1.558343e-01
343,512,-4.243781e+01,1.152159e+00
373,8192,-3.859563e+01,3.476855e+00
463,131072,-2.349940e+01,1.758334e+00
363,512,-3.810007e+01,6.987775e-01
353,65536,-3.178842e+01,1.523474e-01
473,24,-1.427129e+01,8.600542e-01
363,32768,-4.568312e+01,2.677207e+00
493,128,-1.961920e+01,1.366140e-01
363,16384,-4.058053e+01,3.803972e+00
413,32768,-2.929965e+01,4.487688e-01
413,262144,-3.168241e+01,3.391967e+00
433,512,-3.022376e+01,9.449976e-02
443,32768,-2.798682e+01,5.187079e-01
393,8192,-3.052054e+01,1.263566e+00
453,48,-1.893412e+01,5.578581e-01
423,131072,-2.694303e+01,3.057767e+00
423,65536,-2.782380e+01,1.214949e+00
353,48,-4.070324e+01,2.042003e+00
473,512,-2.740905e+01,9.555944e-02
443,131072,-2.956709e+01,1.842481e+00
493,24,-8.268160e+00,1.706055e+00
443,2048,-2.802753e+01,1.654722e-01
363,256,-3.825344e+01,2.191694e+00
453,262144,-3.417391e+01,4.092259e-01
473,8192,-2.660988e+01,1.248136e-01
383,1024,-3.664799e+01,1.385728e-01
433,8192,-2.834358e+01,5.615498e-02
463,512,-2.811929e+01,7.620412e-02
373,4096,-3.845139e+01,5.756336e-01
383,256,-3.355383e+01,8.189282e-01
393,48,-3.207790e+01,1.210594e+00
343,64,-3.940464e+01,3.396454e+00
343,8192,-4.501635e+01,6.855216e-01
463,256,-2.562654e+01,8.640162e-02
493,256,-2.472580e+01,5.041805e-02
453,131072,-2.898828e+01,2.362469e+00
393,128,-3.184597e+01,1.389501e+00
473,4096,-2.664011e+01,7.733495e-02
483,512,-2.664774e+01,1.344341e-01
403,131072,-3.025524e+01,1.160816e+00
433,256,-2.706100e+01,4.195429e-01
483,8192,-2.632341e+01,2.303157e-01
453,8192,-2.755293e+01,1.214676e-01
373,262144,-3.031100e+01,2.520956e+00
463,32768,-2.702008e+01,5.201917e-01
343,16384,-4.769644e+01,1.102158e+00
483,2048,-2.630034e+01,8.995910e-02
433,262144,-2.726176e+01,0.000000e+00
493,2048,-2.588653e+01,8.414109e-02
393,64,-3.201776e+01,2.598478e+00
383,131072,-2.928304e+01,2.281805e+00
403,2048,-3.199376e+01,1.019504e+00
343,2048,-4.244700e+01,3.424947e-01
383,524288,-3.340154e+01,3.916534e+00
423,2048,-2.931518e+01,3.123170e-01
373,512,-3.677603e+01,5.720324e-01
413,131072,-2.744281e+01,3.695032e+00
423,24,-2.594260e+01,1.980653e+00
463,24,-1.638571e+01,6.124630e-01
403,24,-3.093875e+01,4.013306e+00
443,8192,-2.789304e+01,1.030717e-01
343,256,-4.343919e+01,1.089221e+00
453,128,-2.160407e+01,2.891901e-01
363,4096,-4.017428e+01,4.647948e-01
463,65536,-2.669143e+01,1.764334e+00
483,65536,-2.650272e+01,1.867314e+00
493,131072,-2.484985e+01,2.234686e+00
453,24,-1.761277e+01,1.188112e+00
363,65536,-3.143363e+01,3.391050e-01
343,48,-3.367453e+01,2.279384e-02
473,128,-2.051439e+01,2.763280e-01
383,8192,-3.114329e+01,9.684264e-01
453,512,-2.895101e+01,9.542876e-02
433,48,-2.291350e+01,8.329272e-01
403,65536,-2.958328e+01,7.256005e-01
433,65536,-2.779990e+01,1.437610e+00
383,48,-3.591849e+01,2.932025e+00
413,65536,-2.889644e+01,8.091417e-01
343,524288,-3.286886e+01,2.430909e+00
413,128,-2.779037e+01,6.961918e-01
393,24,-3.571644e+01,7.351991e+00
453,32768,-2.745025e+01,3.772561e-01
363,128,-3.903771e+01,3.269731e+00
363,2048,-4.034528e+01,4.270842e-01
433,24,-2.363455e+01,1.404426e+00
403,512,-3.217937e+01,3.839750e-01
353,4096,-4.121265e+01,4.493867e-01
353,32768,-4.537033e+01,3.316361e+00
423,48,-2.562930e+01,2.042532e+00
473,32768,-2.630148e+01,8.852752e-01
373,65536,-3.097360e+01,3.369729e-01
393,512,-3.400429e+01,4.005338e-01
493,16384,-2.581227e+01,5.339965e-01
