"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
473,24,-3.897498e+00,1.491554e-01
373,24,-1.091354e+01,1.789397e-01
423,256,-1.559481e+00,3.490671e-02
493,4096,-3.348348e-01,5.327139e-01
373,1024,-2.443955e+00,2.928564e-02
443,4096,-1.136414e+00,2.983681e-01
473,128,-7.780358e-01,2.967265e-02
443,2048,-1.233282e+00,1.558977e-01
463,24,-4.565349e+00,1.805481e-01
343,256,-3.177259e+00,7.382959e-02
433,32768,-4.526949e+00,3.091685e+00
353,65536,-1.250027e+01,8.625305e-01
353,24,-1.224441e+01,5.828001e-01
433,512,-1.374138e+00,2.221863e-02
403,128,-2.276483e+00,1.132130e-01
363,128,-6.453267e+00,9.449161e-01
453,512,-1.032065e+00,2.501989e-02
343,8192,-3.272475e+00,3.911806e-01
473,8192,-3.881528e-01,1.193028e+00
383,16384,-1.359606e+00,2.773229e+00
413,64,-6.364264e+00,1.773023e-01
343,2048,-3.010112e+00,8.470609e-02
483,48,-2.043471e+00,1.493254e-01
353,1024,-2.822869e+00,2.654299e-02
413,1024,-1.703223e+00,4.068591e-02
463,2048,-8.803947e-01,1.360890e-01
393,64,-8.528721e+00,1.781653e-01
383,64,-9.506964e+00,1.667661e-01
363,2048,-2.614648e+00,9.182320e-02
433,1024,-1.370669e+00,5.174067e-02
473,2048,-6.849416e-01,1.566082e-01
353,16384,-2.848497e+00,1.526647e+00
443,48,-4.905748e+00,1.931468e-01
473,1024,-7.087224e-01,6.191783e-02
463,48,-3.269601e+00,1.528611e-01
483,512,-5.383905e-01,2.240567e-02
453,16384,2.988223e-01,3.109663e+00
383,128,-3.042947e+00,2.274351e-01
373,16384,-1.263849e+00,2.573472e+00
413,2048,-1.711112e+00,1.081677e-01
383,65536,-1.145820e+01,1.749135e+00
383,32768,-4.913585e+00,2.138050e+00
403,48,-8.358060e+00,1.395821e-01
373,65536,-8.380801e+00,1.074767e+00
383,256,-2.303554e+00,3.694791e-02
493,512,-3.815750e-01,2.580309e-02
423,65536,-8.285395e+00,0.000000e+00
353,131072,-1.827565e+01,0.000000e+00
483,24,-3.259972e+00,1.551103e-01
443,512,-1.204758e+00,1.770438e-02
353,48,-1.216620e+01,3.266205e-01
453,131072,-2.403346e+01,0.000000e+00
383,2048,-2.238234e+00,9.121428e-02
363,32768,-4.611276e+00,2.396601e+00
473,512,-7.017910e-01,2.600252e-02
383,8192,-2.172811e+00,8.403575e-01
453,64,-2.511617e+00,1.329922e-01
453,256,-1.044079e+00,2.781708e-02
453,128,-1.143982e+00,3.875060e-02
473,256,-7.075356e-01,2.262401e-02
493,2048,-4.028291e-01,1.966768e-01
343,128,-1.130800e+01,3.628535e-01
383,4096,-2.182239e+00,3.006496e-01
383,512,-2.260723e+00,2.109558e-02
413,512,-1.713371e+00,2.005079e-02
413,32768,-4.446846e+00,2.407954e+00
493,24,-2.598100e+00,1.894192e-01
483,8192,-9.927116e-02,1.667160e+00
403,256,-1.925061e+00,3.240871e-02
413,128,-2.004350e+00,4.472734e-02
373,512,-2.442187e+00,2.075863e-02
433,16384,7.422046e-01,2.817847e+00
473,48,-2.618148e+00,1.122433e-01
453,24,-5.240979e+00,1.930197e-01
493,8192,7.106014e-02,1.413993e+00
413,24,-8.089663e+00,2.389111e-01
453,48,-4.088873e+00,1.471416e-01
463,16384,1.514889e-01,3.481481e+00
443,128,-1.330290e+00,3.920202e-02
473,65536,-1.631089e+01,0.000000e+00
463,128,-9.495127e-01,3.862402e-02
493,64,-8.709160e-01,5.695359e-02
423,64,-5.240225e+00,2.249829e-01
473,32768,-5.589635e+00,2.413885e+00
433,24,-6.658735e+00,1.949472e-01
393,128,-2.665488e+00,1.734845e-01
343,512,-3.032742e+00,2.351108e-02
353,32768,-4.060983e+00,2.043818e+00
393,24,-9.457581e+00,2.174043e-01
383,1024,-2.252068e+00,3.876931e-02
423,16384,-1.714447e-01,2.923070e+00
473,16384,-7.579190e-01,2.755481e+00
363,48,-1.147356e+01,1.516006e-01
483,16384,3.548275e-01,3.042500e+00
463,1024,-8.613618e-01,6.215970e-02
483,128,-5.946261e-01,2.799262e-02
433,8192,-1.058772e+00,1.048548e+00
343,32768,-3.865656e+00,1.710299e+00
463,32768,-5.273730e+00,3.599725e+00
443,256,-1.216781e+00,2.762627e-02
453,2048,-1.038586e+00,1.222552e-01
373,2048,-2.426013e+00,8.985566e-02
353,512,-2.832693e+00,2.743339e-02
383,24,-1.011514e+01,2.599845e-01
483,32768,-4.964221e+00,3.489644e+00
453,65536,-1.620178e+01,0.000000e+00
363,4096,-2.611715e+00,2.328892e-01
383,48,-1.000982e+01,1.573411e-01
483,64,-1.172396e+00,9.130938e-02
353,8192,-2.749580e+00,6.851468e-01
493,131072,-2.102079e+01,0.000000e+00
433,48,-5.771833e+00,1.426464e-01
403,2048,-1.891359e+00,1.203933e-01
443,1024,-1.196858e+00,4.489611e-02
393,48,-9.133503e+00,1.598607e-01
413,256,-1.738302e+00,3.233624e-02
473,4096,-7.103310e-01,4.343566e-01
403,32768,-5.897570e+00,2.548036e+00
463,64,-2.005954e+00,1.220149e-01
423,1024,-1.554803e+00,5.669601e-02
343,4096,-3.013197e+00,2.019165e-01
423,8192,-1.251476e+00,1.147498e+00
393,2048,-2.084305e+00,8.909971e-02
433,64,-4.159862e+00,2.173128e-01
393,32768,-4.491338e+00,2.613414e+00
363,64,-1.128635e+01,2.243834e-01
413,8192,-1.566370e+00,1.024406e+00
463,8192,-5.480514e-01,1.055378e+00
373,8192,-2.210601e+00,7.242806e-01
413,4096,-1.728702e+00,3.630250e-01
373,32768,-4.422422e+00,2.456852e+00
343,16384,-2.732757e+00,1.900130e+00
443,8192,-1.115360e+00,1.036625e+00
363,512,-2.637601e+00,2.480819e-02
413,48,-7.511250e+00,1.183201e-01
393,512,-2.082846e+00,2.711109e-02
453,8192,-7.572049e-01,1.054373e+00
423,24,-7.331468e+00,2.082999e-01
403,8192,-1.750857e+00,9.656716e-01
443,65536,-1.455475e+01,6.106946e-01
413,16384,-3.217637e-01,3.239149e+00
353,2048,-2.824766e+00,8.057851e-02
483,1024,-5.437007e-01,6.024163e-02
343,24,-1.318896e+01,5.464672e-01
493,48,-1.543311e+00,9.867128e-02
343,48,-1.309285e+01,4.143137e-01
483,256,-5.422609e-01,2.238281e-02
493,128,-4.211887e-01,2.943252e-02
403,24,-8.729652e+00,1.600719e-01
423,128,-1.758069e+00,5.281642e-02
373,4096,-2.458724e+00,2.278666e-01
483,4096,-5.215106e-01,4.494683e-01
493,1024,-3.726716e-01,5.322248e-02
493,16384,2.411116e+00,3.642607e+00
493,256,-3.877498e-01,2.937665e-02
363,1024,-2.635006e+00,2.714732e-02
453,1024,-1.030942e+00,5.244106e-02
393,1024,-2.073513e+00,4.349221e-02
433,256,-1.382010e+00,2.454185e-02
343,1024,-3.017676e+00,2.946411e-02
473,64,-1.569329e+00,9.828360e-02
393,8192,-2.026586e+00,9.265805e-01
423,48,-6.589654e+00,1.272583e-01
433,2048,-1.351832e+00,1.152573e-01
463,65536,-1.385156e+01,5.536991e-01
443,16384,-2.173962e-02,3.544049e+00
363,8192,-2.352072e+00,7.906437e-01
423,4096,-1.431840e+00,3.701571e-01
423,512,-1.545714e+00,2.854587e-02
443,64,-3.322414e+00,2.088388e-01
433,4096,-1.399057e+00,3.240904e-01
423,32768,-5.218300e+00,3.021748e+00
463,4096,-7.651032e-01,3.913847e-01
483,2048,-4.945784e-01,1.542653e-01
493,32768,-5.721971e+00,4.046274e+00
363,256,-2.699721e+00,5.331984e-02
373,48,-1.068161e+01,1.830522e-01
453,32768,-5.614031e+00,2.579383e+00
403,16384,-1.097542e+00,3.107424e+00
463,512,-8.728017e-01,2.165129e-02
453,4096,-9.634991e-01,3.333653e-01
343,64,-1.287051e+01,5.123682e-01
363,16384,-1.951873e+00,2.499526e+00
373,256,-2.503024e+00,3.984278e-02
353,4096,-2.821461e+00,2.465157e-01
343,65536,-6.718417e+00,0.000000e+00
353,128,-9.246879e+00,5.106392e-01
403,512,-1.896674e+00,2.538941e-02
393,65536,-9.962569e+00,0.000000e+00
373,64,-1.041124e+01,1.109595e-01
443,24,-5.934613e+00,1.667097e-01
373,128,-3.882765e+00,5.251826e-01
403,64,-7.472775e+00,1.840504e-01
463,256,-8.754682e-01,2.424309e-02
393,16384,-2.018686e-01,3.267030e+00
393,4096,-2.030916e+00,3.070609e-01
353,256,-2.948406e+00,8.013874e-02
433,65536,-1.137823e+01,2.896958e+00
423,2048,-1.516679e+00,1.302096e-01
403,4096,-1.912388e+00,2.967734e-01
363,24,-1.156181e+01,2.226249e-01
433,128,-1.530237e+00,4.366712e-02
443,32768,-4.592124e+00,2.729729e+00
353,64,-1.205083e+01,2.708420e-01
393,256,-2.117383e+00,4.190775e-02
403,1024,-1.888579e+00,3.869025e-02
413,65536,-8.089523e+00,0.000000e+00
