"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
463,32768,-2.801766e+01,4.534870e-01
383,16384,-3.387958e+01,1.369886e-01
473,65536,-2.702941e+01,1.081499e+00
443,2048,-2.986869e+01,1.184540e-01
413,8192,-3.161144e+01,7.152635e-02
373,8192,-3.537316e+01,2.847949e-01
343,128,-4.398490e+01,2.224890e+00
433,524288,-4.153304e+01,0.000000e+00
413,131072,-3.244643e+01,6.032813e-01
423,256,-3.075322e+01,3.105773e-01
463,65536,-2.710377e+01,6.954952e-01
473,512,-2.916333e+01,9.634632e-02
453,1024,-3.034093e+01,1.771467e-01
483,512,-2.803287e+01,1.078411e-01
463,2048,-2.813737e+01,1.456309e-01
423,32768,-3.074778e+01,2.092100e-01
433,16384,-3.003991e+01,6.543114e-02
493,32768,-2.612751e+01,5.702440e-01
353,32768,-3.662531e+01,7.764258e-01
363,8192,-3.765432e+01,1.182972e+00
343,32768,-3.723700e+01,1.805044e-01
423,64,-2.832977e+01,1.075649e+00
373,65536,-3.465392e+01,1.334108e-01
353,2048,-4.279538e+01,2.980938e-01
383,4096,-3.660397e+01,4.316599e-01
363,512,-3.756972e+01,8.938686e-01
393,64,-3.196848e+01,1.355070e+00
363,256,-3.863026e+01,1.569147e+00
373,64,-3.666331e+01,1.345746e+00
403,24,-3.229344e+01,2.152758e+00
413,512,-3.417492e+01,2.136696e-01
443,512,-3.210817e+01,1.710207e-01
433,262144,-2.953766e+01,1.955123e+00
433,4096,-3.017625e+01,1.302529e-01
403,262144,-3.039312e+01,2.428078e+00
373,1024,-3.913615e+01,3.454466e-01
483,131072,-2.588629e+01,3.852891e+00
383,524288,-3.354345e+01,2.720967e+00
383,128,-3.447954e+01,2.220548e+00
433,256,-2.990051e+01,1.313423e-01
393,48,-3.264014e+01,4.153360e+00
363,48,-3.743353e+01,2.003795e+00
463,4096,-2.793159e+01,9.492036e-02
483,1024,-2.690729e+01,1.136005e-01
373,2048,-4.198311e+01,2.532961e-01
443,48,-2.513775e+01,8.204492e-01
393,128,-3.339339e+01,1.160116e+00
423,16384,-3.090815e+01,1.451395e-01
453,65536,-2.799830e+01,1.174161e+00
383,2048,-4.090365e+01,2.838321e-01
483,32768,-2.614823e+01,4.398566e-01
423,48,-2.844760e+01,9.141324e-01
383,48,-3.402761e+01,2.597360e+00
463,16384,-2.791626e+01,2.006270e-01
423,24,-2.846778e+01,1.213776e+00
353,262144,-3.629262e+01,6.465352e-01
453,32768,-2.841739e+01,4.528470e-01
393,262144,-3.316244e+01,1.925922e+00
403,64,-3.243316e+01,7.900850e-01
473,4096,-2.726718e+01,8.116450e-02
493,16384,-2.595996e+01,2.963460e-01
353,128,-4.185102e+01,2.469721e+00
423,65536,-3.061570e+01,5.913978e-01
493,48,-1.833342e+01,3.156347e-01
363,524288,-3.447572e+01,2.904953e+00
