"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
343,8192,-2.111345e+01,2.131158e-02
413,64,-1.732726e+01,3.650817e-02
493,24,-1.127194e+01,4.844187e-02
433,65536,-1.512159e+01,2.602804e+00
343,32768,-2.107308e+01,7.724119e-02
343,262144,-2.211392e+01,1.235498e+00
353,24,-2.198012e+01,4.949663e-02
393,48,-1.880867e+01,3.438777e-02
363,1024,-2.043000e+01,6.363671e-02
353,131072,-2.065998e+01,8.328757e-01
393,256,-1.962535e+01,3.575478e-02
423,8192,-1.688782e+01,9.530904e-02
433,128,-1.666281e+01,4.036420e-02
413,512,-1.773367e+01,4.192819e-02
463,24,-1.343972e+01,4.646824e-02
473,16384,-1.452882e+01,5.135479e-01
343,16384,-2.108937e+01,6.598738e-02
393,131072,-1.793150e+01,1.914047e+00
343,2048,-2.128050e+01,7.619460e-02
373,262144,-1.869131e+01,1.074743e+00
453,24,-1.413807e+01,6.704362e-02
343,64,-2.276624e+01,3.925934e-02
403,512,-1.839425e+01,4.014842e-02
443,131072,-1.812370e+01,2.307015e+00
453,512,-1.551613e+01,3.239306e-02
453,2048,-1.544674e+01,1.938939e-02
443,4096,-1.589863e+01,4.528479e-02
393,262144,-2.082589e+01,2.264739e+00
463,4096,-1.495920e+01,5.800098e-02
403,48,-1.802414e+01,1.808889e-02
403,8192,-1.785589e+01,5.419676e-02
343,24,-2.272682e+01,1.201732e-01
493,1024,-1.364215e+01,3.125948e-02
423,262144,-2.485327e+01,0.000000e+00
493,4096,-1.362288e+01,4.281862e-02
443,8192,-1.585525e+01,6.494019e-02
383,2048,-1.892580e+01,2.290529e-02
363,64,-2.111775e+01,3.441658e-02
413,2048,-1.736097e+01,1.412397e-02
483,65536,-1.123426e+01,4.379997e+00
373,48,-2.031803e+01,1.911221e-02
353,65536,-2.020506e+01,6.036946e-01
463,1024,-1.498089e+01,3.223642e-02
453,256,-1.584239e+01,2.552435e-02
383,32768,-1.887717e+01,2.698714e-01
393,16384,-1.840889e+01,1.194419e-01
423,4096,-1.685363e+01,3.837318e-02
463,8192,-1.492891e+01,1.061886e-01
413,4096,-1.737930e+01,3.335419e-02
423,131072,-1.733384e+01,2.420332e+00
363,32768,-1.981601e+01,2.186866e-01
473,64,-1.341051e+01,2.959122e-02
363,48,-2.111571e+01,4.185700e-02
393,1024,-1.849399e+01,3.302147e-02
443,48,-1.510120e+01,4.010427e-02
403,128,-1.844961e+01,4.222401e-02
353,2048,-2.063370e+01,2.995188e-02
433,24,-1.565234e+01,6.249102e-02
413,48,-1.726673e+01,3.865878e-02
383,48,-1.957263e+01,5.005108e-02
413,128,-1.783539e+01,2.548017e-02
483,512,-1.410693e+01,1.409171e-02
453,128,-1.558202e+01,2.622877e-02
363,2048,-2.004133e+01,4.268895e-02
353,16384,-2.052647e+01,5.497618e-02
433,16384,-1.633775e+01,2.507921e-01
483,48,-1.242449e+01,1.600924e-02
463,256,-1.528596e+01,4.081785e-02
443,512,-1.601966e+01,3.783647e-02
493,2048,-1.364817e+01,2.902362e-02
473,512,-1.458288e+01,1.952725e-02
453,65536,-1.516029e+01,2.369504e+00
413,256,-1.833596e+01,4.111667e-02
373,128,-2.050049e+01,3.008402e-02
493,65536,-1.396144e+01,3.970014e+00
483,64,-1.285266e+01,4.818040e-02
353,1024,-2.121920e+01,5.424576e-02
473,256,-1.475825e+01,2.936299e-02
383,128,-1.975967e+01,1.979462e-02
453,8192,-1.550075e+01,6.663970e-02
443,1024,-1.592690e+01,1.760159e-02
373,8192,-1.944513e+01,4.004955e-02
343,131072,-2.045126e+01,4.654726e-01
373,16384,-1.945151e+01,9.471871e-02
463,131072,-1.731116e+01,7.804051e-01
393,65536,-1.818256e+01,1.285476e+00
493,16384,-1.360972e+01,6.205351e-01
363,8192,-1.997068e+01,2.466055e-02
443,64,-1.526926e+01,2.719188e-02
373,24,-2.030393e+01,3.015094e-02
483,131072,-1.685977e+01,1.821498e+00
443,256,-1.647063e+01,1.983171e-02
473,32768,-1.422508e+01,1.148953e+00
433,256,-1.708155e+01,2.768644e-02
493,64,-1.231038e+01,3.172805e-02
453,64,-1.463222e+01,2.526920e-02
423,48,-1.656206e+01,3.737416e-02
