"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
353,512,-5.087143e+00,2.266571e-02
383,256,-4.220459e+00,3.490156e-02
423,2048,-3.085677e+00,1.585201e-01
443,64,-3.050961e+00,6.536017e-02
413,8192,-3.272879e+00,1.750958e+00
393,4096,-3.915566e+00,4.670063e-01
443,16384,-3.855599e+00,3.453186e+00
463,64,-2.344153e+00,4.360596e-02
423,8192,-2.624032e+00,1.990628e+00
363,8192,-4.708730e+00,8.895503e-01
433,512,-2.771666e+00,2.843911e-02
473,128,-1.746722e+00,3.488982e-02
453,512,-2.231228e+00,3.494985e-02
373,24,-7.331189e+00,1.380291e-01
473,512,-1.719467e+00,3.450025e-02
493,64,-1.382292e+00,4.999249e-02
393,128,-4.225817e+00,6.600297e-02
473,48,-2.211995e+00,4.878604e-02
343,128,-6.930561e+00,1.530968e-01
403,24,-5.677005e+00,1.168501e-01
473,8192,-1.458733e+00,2.711061e+00
383,2048,-4.108400e+00,1.677638e-01
483,8192,-8.884755e-01,2.900463e+00
473,4096,-1.533045e+00,8.526716e-01
353,65536,-1.463896e+01,0.000000e+00
443,24,-3.721851e+00,1.111575e-01
413,65536,-1.888113e+01,0.000000e+00
423,16384,-4.487999e+00,2.618315e+00
463,24,-2.860862e+00,7.656207e-02
363,65536,-1.592185e+01,0.000000e+00
373,64,-6.747037e+00,1.323433e-01
403,2048,-3.612424e+00,1.233852e-01
433,1024,-2.774448e+00,8.320571e-02
453,64,-2.689173e+00,5.687255e-02
483,4096,-1.518764e+00,8.164417e-01
403,4096,-3.569552e+00,4.427148e-01
493,8192,-8.375163e-01,3.038922e+00
403,48,-5.348342e+00,8.308526e-02
443,128,-2.579507e+00,4.827687e-02
363,128,-5.607148e+00,9.814909e-02
383,1024,-4.164644e+00,5.665289e-02
373,1024,-4.481201e+00,4.606574e-02
373,512,-4.470926e+00,2.560076e-02
453,4096,-2.210450e+00,7.868257e-01
483,256,-1.457045e+00,2.369446e-02
343,24,-9.075465e+00,6.668613e-01
443,32768,-8.367964e+00,1.203464e+00
463,256,-1.973738e+00,2.434700e-02
453,8192,-8.545152e-01,3.256768e+00
423,4096,-2.857807e+00,7.875118e-01
453,24,-3.255776e+00,9.371502e-02
413,1024,-3.312563e+00,7.239385e-02
353,24,-8.544640e+00,1.794582e-01
343,16384,-4.229934e+00,2.470693e+00
433,64,-3.483457e+00,7.047740e-02
363,256,-4.849706e+00,5.444500e-02
483,16384,-3.929718e+00,4.326371e+00
343,65536,-1.817751e+01,0.000000e+00
343,64,-8.879649e+00,2.036511e-01
343,256,-5.561431e+00,7.360919e-02
383,32768,-9.627920e+00,2.257578e+00
433,128,-2.874858e+00,4.104372e-02
443,8192,-1.457652e+00,3.061475e+00
463,4096,-1.779411e+00,7.517794e-01
413,24,-5.162353e+00,1.135397e-01
403,32768,-6.064113e+00,0.000000e+00
343,8192,-5.316392e+00,8.064878e-01
493,16384,-3.887231e+00,3.215808e+00
