"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dU mean [kJ/mol]","dU standard deviation [kJ/mol]"
353,524288,-5.738878e+03,5.738878e+03
493,512,-2.451555e+05,2.370157e+05
423,262144,-3.319707e+03,3.319707e+03
453,65536,-1.694922e+03,1.694767e+03
463,48,-3.370439e+06,3.362336e+06
353,2048,-4.099351e+06,4.079721e+06
413,512,-2.644684e+06,2.611208e+06
463,128,-2.570981e+06,2.543369e+06
453,1024,-1.110543e+05,1.058211e+05
343,65536,-5.549205e+04,4.303317e+04
373,256,-4.522146e+06,4.518962e+06
343,32768,-2.787016e+05,2.275259e+05
443,512,-1.315479e+06,1.295005e+06
453,4096,-4.747796e+03,3.713253e+03
343,512,-4.963285e+06,4.962600e+06
373,8192,-1.915196e+05,1.522603e+05
463,131072,-3.003424e+03,3.003424e+03
363,512,-4.595751e+06,4.591429e+06
353,65536,-4.206319e+03,4.190810e+03
473,24,-3.394822e+06,3.391519e+06
363,32768,-4.555478e+04,3.521706e+04
433,524288,-2.716613e+03,2.716613e+03
493,128,-1.760259e+06,1.743929e+06
363,16384,-9.590003e+04,7.297312e+04
413,32768,-3.592558e+03,3.582231e+03
483,524288,-2.856908e+03,2.856908e+03
433,512,-1.670078e+06,1.655852e+06
443,32768,-2.212073e+03,2.207974e+03
393,8192,-5.689567e+03,4.088144e+03
453,48,-3.551523e+06,3.547190e+06
423,131072,-2.911533e+03,2.911435e+03
423,65536,-4.329799e+03,4.328991e+03
353,48,-4.788156e+06,4.788153e+06
473,512,-4.863251e+05,4.744035e+05
443,131072,-3.318435e+03,3.318380e+03
493,24,-3.028668e+06,3.017931e+06
443,2048,-1.643263e+04,1.469500e+04
363,256,-4.697273e+06,4.695596e+06
453,262144,-1.608950e+03,1.608950e+03
473,8192,-3.778781e+03,3.698615e+03
383,1024,-3.293645e+06,3.280662e+06
443,256,-2.393331e+06,2.381658e+06
463,512,-6.788074e+05,6.677002e+05
373,4096,-6.355212e+05,5.967094e+05
383,256,-4.391719e+06,4.387061e+06
393,48,-4.319200e+06,4.319103e+06
343,64,-4.871183e+06,4.871174e+06
343,8192,-1.923875e+06,1.832058e+06
463,256,-1.770061e+06,1.759925e+06
