"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dU mean [kJ/mol]","dU standard deviation [kJ/mol]"
393,8192,-9.396542e+00,3.215577e+00
443,128,-8.723779e+00,8.817489e-02
413,2048,-9.040810e+00,4.339739e-01
383,24,-2.819053e+01,8.602209e-01
403,48,-2.445070e+01,2.458947e-01
433,512,-8.771515e+00,6.362539e-02
343,1024,-9.822305e+00,1.322159e-01
383,8192,-1.097637e+01,2.108202e+00
403,8192,-7.050066e+00,3.055854e+00
493,256,-8.234366e+00,2.736704e-02
473,24,-1.613200e+01,2.991346e-01
343,8192,-1.015806e+01,2.109552e+00
363,1024,-9.601090e+00,1.512060e-01
423,24,-2.254472e+01,3.728383e-01
453,128,-8.589782e+00,5.150520e-02
373,512,-9.425855e+00,3.584725e-02
383,512,-9.328033e+00,5.739955e-02
473,512,-8.417441e+00,4.536867e-02
493,1024,-8.248933e+00,2.071477e-01
343,128,-3.178225e+01,5.665502e-01
413,256,-8.964800e+00,6.236986e-02
363,2048,-9.545749e+00,3.353481e-01
493,2048,-8.116304e+00,6.246617e-01
453,256,-8.565070e+00,3.583685e-02
373,2048,-9.338291e+00,4.424298e-01
403,16384,-1.332402e+01,0.000000e+00
463,1024,-8.481245e+00,2.730459e-01
433,64,-1.553727e+01,7.393971e-01
413,512,-8.981184e+00,4.951224e-02
373,128,-1.197723e+01,1.230245e+00
343,4096,-9.294402e+00,1.258428e+00
343,256,-1.001098e+01,1.509171e-01
493,64,-9.128939e+00,8.015591e-02
373,24,-2.992710e+01,2.961073e-01
423,2048,-8.633021e+00,4.483302e-01
463,48,-1.395230e+01,3.767910e-01
363,24,-3.098133e+01,5.139891e-01
413,4096,-8.709129e+00,9.422730e-01
353,2048,-9.728433e+00,2.657996e-01
353,32768,-5.173473e+00,0.000000e+00
383,4096,-9.219251e+00,9.495793e-01
403,512,-9.070025e+00,4.535252e-02
423,64,-1.768783e+01,5.648216e-01
483,16384,-1.270879e+01,0.000000e+00
423,48,-2.066623e+01,4.126746e-01
463,256,-8.485539e+00,2.237514e-02
483,128,-8.279571e+00,3.069398e-02
393,64,-2.502266e+01,5.204430e-01
463,512,-8.505895e+00,4.857822e-02
453,48,-1.533606e+01,3.915551e-01
423,512,-8.857037e+00,4.368811e-02
353,48,-3.242629e+01,6.399841e-01
453,24,-1.882263e+01,2.465756e-01
463,64,-1.108559e+01,3.241701e-01
403,256,-9.065941e+00,4.282315e-02
443,1024,-8.769388e+00,1.352499e-01
433,1024,-8.702987e+00,1.585572e-01
393,256,-9.190390e+00,7.723632e-02
433,2048,-8.697317e+00,6.408884e-01
373,1024,-9.396788e+00,1.307623e-01
353,4096,-9.986289e+00,1.525286e+00
483,8192,-6.703271e+00,2.263023e+00
443,512,-8.682796e+00,4.671063e-02
463,2048,-8.346415e+00,4.530466e-01
353,512,-9.723263e+00,7.417204e-02
413,8192,-9.282062e+00,2.051218e+00
473,4096,-8.652591e+00,1.464747e+00
373,48,-2.942486e+01,3.999439e-01
393,24,-2.686006e+01,5.122047e-01
393,4096,-9.901871e+00,1.334056e+00
463,24,-1.758312e+01,4.260138e-01
383,64,-2.709654e+01,4.948275e-01
413,48,-2.266434e+01,2.641131e-01
433,4096,-9.355559e+00,1.432432e+00
343,48,-3.317159e+01,6.200956e-01
423,16384,-1.028027e+01,0.000000e+00
453,512,-8.564927e+00,8.205297e-02
473,8192,-7.768942e+00,2.642661e+00
463,16384,-1.604935e+01,0.000000e+00
363,16384,-5.426303e+00,0.000000e+00
433,128,-8.809638e+00,6.369186e-02
463,4096,-8.499012e+00,2.068403e+00
403,24,-2.578392e+01,3.283029e-01
443,64,-1.350446e+01,7.491792e-01
363,64,-3.042976e+01,2.676339e-01
393,1024,-9.249344e+00,1.072225e-01
363,48,-3.094822e+01,3.409663e-01
403,1024,-9.047802e+00,9.166086e-02
433,24,-2.167626e+01,2.144483e-01
383,256,-9.335948e+00,6.830479e-02
423,8192,-7.729251e+00,3.879139e+00
