"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dU mean [kJ/mol]","dU standard deviation [kJ/mol]"
413,16384,-4.804849e+01,4.801366e+01
403,48,-1.115688e+02,9.267949e+01
483,131072,-4.906875e+01,9.809098e+01
363,256,-1.279653e+02,1.229625e+02
363,4096,-9.465050e+01,8.578364e+01
363,2048,-9.237172e+01,8.508518e+01
373,4096,-8.724442e+01,8.240278e+01
373,65536,-5.227263e+01,5.224706e+01
493,24,-7.678076e+01,6.745524e+01
373,256,-1.087080e+02,9.159978e+01
353,128,-1.436535e+02,1.826530e+02
443,48,-9.234966e+01,7.735228e+01
463,4096,-4.375340e+01,4.375698e+01
343,65536,-7.693592e+01,1.458397e+02
363,131072,-5.302329e+01,5.326544e+01
463,32768,-4.423881e+01,4.483852e+01
423,1024,-7.743570e+01,7.373799e+01
443,512,-7.468503e+01,7.138755e+01
373,2048,-8.863703e+01,8.370271e+01
363,128,-1.178577e+02,1.079684e+02
463,65536,-3.649452e+01,4.489552e+01
493,64,-6.931464e+01,6.594537e+01
383,524288,-5.495290e+01,1.553108e+02
433,65536,-4.637574e+01,4.844723e+01
463,48,-8.484196e+01,7.219578e+01
473,32768,-4.023211e+01,4.104435e+01
443,32768,-4.592137e+01,4.618314e+01
483,32768,-4.289609e+01,4.348444e+01
373,8192,-7.787963e+01,7.648887e+01
393,2048,-8.313301e+01,7.962211e+01
353,1024,-1.302718e+02,1.267865e+02
413,32768,-4.753306e+01,4.760979e+01
493,131072,-4.151901e+01,1.173238e+02
443,64,-8.723257e+01,7.555617e+01
493,512,-5.120561e+01,5.104686e+01
423,16384,-4.706902e+01,4.703442e+01
363,32768,-5.373089e+01,5.371369e+01
453,32768,-4.389834e+01,4.450062e+01
343,2048,-1.047562e+02,9.038154e+01
413,2048,-7.246691e+01,7.117719e+01
413,262144,-5.724260e+01,7.642793e+01
383,2048,-8.668602e+01,8.271001e+01
383,48,-1.531338e+02,2.159489e+02
473,24,-8.379482e+01,7.135920e+01
423,256,-8.475137e+01,7.747724e+01
463,8192,-4.340226e+01,4.338082e+01
393,524288,-5.628193e+01,1.591109e+02
473,512,-5.811463e+01,5.715915e+01
393,512,-9.234063e+01,8.254863e+01
403,262144,-4.349649e+01,5.298028e+01
453,8192,-4.415504e+01,4.415104e+01
433,512,-7.936072e+01,7.419318e+01
393,262144,-4.942780e+01,5.551065e+01
483,256,-6.630687e+01,6.336197e+01
393,8192,-5.608773e+01,5.666621e+01
413,24,-1.197889e+02,1.092919e+02
453,512,-7.280601e+01,6.822678e+01
373,128,-1.359284e+02,1.396886e+02
433,2048,-5.670026e+01,5.647862e+01
423,32768,-4.740578e+01,4.741403e+01
463,256,-7.132023e+01,6.850573e+01
373,16384,-5.452643e+01,5.467944e+01
383,262144,-4.983615e+01,5.157292e+01
353,262144,-5.423340e+01,5.533146e+01
403,32768,-4.885168e+01,4.887144e+01
353,2048,-1.012955e+02,8.856759e+01
353,4096,-9.508591e+01,8.755556e+01
483,512,-5.450901e+01,5.391069e+01
353,256,-1.241645e+02,1.136739e+02
413,128,-9.374039e+01,8.049723e+01
433,24,-9.356019e+01,7.871543e+01
423,8192,-4.734511e+01,4.733108e+01
443,24,-8.845430e+01,7.554448e+01
463,128,-7.486875e+01,7.080922e+01
383,128,-1.065470e+02,8.940958e+01
483,65536,-4.284855e+01,5.726796e+01
453,24,-1.026924e+02,8.367941e+01
473,16384,-4.223078e+01,4.230731e+01
453,64,-8.329905e+01,7.326009e+01
483,64,-7.236946e+01,6.774928e+01
443,2048,-5.261332e+01,5.247572e+01
403,16384,-4.936367e+01,4.935064e+01
383,8192,-6.860679e+01,6.869707e+01
443,262144,-3.557904e+01,1.005195e+02
343,262144,-5.413083e+01,5.438524e+01
343,16384,-8.994117e+01,8.673490e+01
383,65536,-5.105060e+01,5.109689e+01
473,4096,-4.243854e+01,4.242431e+01
443,65536,-4.416719e+01,4.595498e+01
483,1024,-4.763274e+01,4.746748e+01
403,512,-8.833288e+01,8.033077e+01
453,128,-7.873699e+01,7.198462e+01
353,524288,-5.554398e+01,6.954298e+01
443,16384,-4.476063e+01,4.480483e+01
473,1024,-5.059311e+01,5.045741e+01
363,512,-1.257694e+02,1.149512e+02
353,16384,-8.756979e+01,8.432796e+01
463,24,-1.030537e+02,8.454662e+01
423,2048,-6.331633e+01,6.238786e+01
393,16384,-5.029526e+01,5.037445e+01
413,65536,-4.862608e+01,4.909015e+01
493,32768,-4.111506e+01,4.307512e+01
433,8192,-4.616224e+01,4.618411e+01
363,262144,-5.290651e+01,5.470093e+01
403,524288,-5.036002e+01,1.421632e+02
433,128,-8.162758e+01,7.590015e+01
473,8192,-4.235808e+01,4.239076e+01
383,1024,-9.323524e+01,8.347809e+01
393,256,-9.734186e+01,8.334253e+01
433,64,-8.348118e+01,7.597632e+01
473,128,-7.422672e+01,6.922753e+01
463,524288,-4.344342e+01,1.227911e+02
393,128,-1.080435e+02,8.981038e+01
393,131072,-4.911022e+01,5.009665e+01
463,64,-8.069105e+01,7.204621e+01
493,4096,-4.065754e+01,4.062308e+01
433,16384,-4.603115e+01,4.604384e+01
483,2048,-4.271341e+01,4.271596e+01
413,256,-9.213948e+01,8.000753e+01
423,64,-8.917843e+01,7.802545e+01
433,1024,-7.107059e+01,6.880230e+01
443,256,-7.772477e+01,7.379251e+01
493,2048,-4.126282e+01,4.125453e+01
363,8192,-8.552088e+01,8.247715e+01
383,256,-9.663145e+01,8.441533e+01
403,64,-1.193853e+02,1.052835e+02
493,65536,-3.725371e+01,4.931929e+01
423,65536,-4.705458e+01,4.817946e+01
473,48,-8.046976e+01,7.053202e+01
373,32768,-5.196824e+01,5.196892e+01
353,32768,-7.041732e+01,8.669917e+01
433,32768,-4.667272e+01,4.682152e+01
393,48,-1.237989e+02,1.180990e+02
493,262144,-5.311107e+01,1.500856e+02
343,1024,-1.378091e+02,1.363155e+02
343,524288,-5.778362e+01,6.479304e+01
403,8192,-5.092015e+01,5.095080e+01
453,65536,-4.474657e+01,4.662166e+01
413,1024,-7.966780e+01,7.692830e+01
493,1024,-4.505552e+01,4.496165e+01
463,131072,-3.616424e+01,6.264611e+01
493,256,-6.158053e+01,5.976872e+01
453,48,-9.041073e+01,7.531413e+01
473,256,-7.064089e+01,6.683810e+01
413,512,-9.098481e+01,7.971717e+01
493,48,-7.301776e+01,6.659276e+01
493,8192,-4.064398e+01,4.062296e+01
453,131072,-5.308947e+01,8.660441e+01
423,131072,-4.717516e+01,5.518139e+01
433,262144,-4.796400e+01,7.825748e+01
363,1024,-9.693369e+01,8.635955e+01
373,1024,-1.002380e+02,8.644416e+01
463,2048,-4.683852e+01,4.681110e+01
453,256,-7.507717e+01,7.154108e+01
403,256,-9.416810e+01,8.188553e+01
483,16384,-4.145919e+01,4.177207e+01
413,131072,-5.003824e+01,5.364415e+01
443,4096,-4.634929e+01,4.633650e+01
453,2048,-4.899554e+01,4.891402e+01
473,64,-7.596816e+01,6.944825e+01
433,4096,-4.812495e+01,4.811346e+01
473,2048,-4.431469e+01,4.429558e+01
443,128,-8.191763e+01,7.424890e+01
383,131072,-4.984137e+01,5.016658e+01
403,1024,-8.479940e+01,7.866678e+01
423,24,-1.207892e+02,1.060268e+02
463,1024,-5.368745e+01,5.344247e+01
383,16384,-5.307034e+01,5.359685e+01
423,48,-1.111333e+02,9.447112e+01
343,32768,-8.264407e+01,8.236614e+01
483,24,-8.296787e+01,6.993740e+01
443,131072,-5.077367e+01,6.760933e+01
393,32768,-5.017909e+01,5.014260e+01
443,1024,-6.326318e+01,6.193063e+01
353,65536,-5.433611e+01,5.430414e+01
453,4096,-4.487926e+01,4.485907e+01
403,128,-9.536826e+01,8.149170e+01
373,512,-1.123874e+02,9.443806e+01
363,16384,-7.556485e+01,7.681182e+01
433,256,-8.027369e+01,7.494091e+01
453,262144,-5.344404e+01,1.510004e+02
493,128,-6.623066e+01,6.427784e+01
363,524288,-5.027072e+01,6.670560e+01
343,131072,-5.495429e+01,5.499508e+01
393,1024,-8.670371e+01,8.156912e+01
463,262144,-2.638362e+01,7.456074e+01
423,128,-8.713053e+01,7.787411e+01
393,64,-1.133843e+02,9.710017e+01
343,8192,-9.598634e+01,8.883369e+01
453,1024,-5.811225e+01,5.769355e+01
353,512,-1.162580e+02,9.788432e+01
383,512,-9.914186e+01,8.512466e+01
483,128,-6.771463e+01,6.597827e+01
423,512,-7.960217e+01,7.653964e+01
403,65536,-4.950702e+01,4.987880e+01
403,2048,-7.846048e+01,7.585212e+01
403,4096,-6.246356e+01,6.197492e+01
483,8192,-4.147139e+01,4.148149e+01
413,64,-9.712163e+01,8.167962e+01
343,4096,-1.090589e+02,9.280063e+01
373,524288,-5.193818e+01,7.182757e+01
403,131072,-4.995971e+01,5.215855e+01
463,512,-6.489472e+01,6.367954e+01
373,262144,-5.101537e+01,5.930310e+01
413,48,-9.647658e+01,8.124330e+01
383,32768,-5.111913e+01,5.110569e+01
413,8192,-4.926839e+01,4.930043e+01
393,4096,-7.540178e+01,7.413217e+01
483,48,-7.883144e+01,6.872019e+01
483,4096,-4.155421e+01,4.154669e+01
473,65536,-4.122610e+01,4.449802e+01
453,16384,-4.416334e+01,4.418419e+01
423,4096,-5.163280e+01,5.169203e+01
443,8192,-4.550314e+01,4.553476e+01
433,131072,-4.510842e+01,7.075779e+01
413,4096,-5.549981e+01,5.541685e+01
383,4096,-8.455829e+01,8.002441e+01
373,131072,-5.205267e+01,5.213083e+01
393,65536,-5.032787e+01,5.058576e+01
353,8192,-9.181378e+01,8.686845e+01
433,48,-8.765816e+01,7.659439e+01
363,65536,-5.279059e+01,5.282103e+01
493,16384,-4.043721e+01,4.067741e+01
463,16384,-4.319759e+01,4.320835e+01
