"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dU mean [kJ/mol]","dU standard deviation [kJ/mol]"
343,8192,-1.914288e+03,1.414824e+03
413,64,-3.685989e+06,3.685731e+06
493,24,-3.347105e+06,3.347034e+06
433,65536,-3.510687e+04,3.510684e+04
343,32768,-1.275429e+04,1.274470e+04
343,262144,-2.637650e+04,2.637645e+04
353,24,-4.142758e+06,4.142757e+06
393,48,-3.881215e+06,3.881184e+06
353,131072,-1.894971e+04,1.894953e+04
393,256,-2.283669e+06,2.282063e+06
423,8192,-1.209807e+04,1.205555e+04
433,128,-2.718673e+06,2.717159e+06
413,512,-2.532257e+05,2.518069e+05
463,24,-3.510555e+06,3.510526e+06
393,524288,-3.681057e+04,3.681057e+04
343,16384,-5.989811e+03,5.908121e+03
393,131072,-3.847614e+04,3.847614e+04
353,48,-4.130112e+06,4.130097e+06
343,2048,-4.688675e+04,4.566457e+04
373,262144,-2.793766e+04,2.793766e+04
453,24,-3.563249e+06,3.563139e+06
343,64,-4.190941e+06,4.190928e+06
403,512,-3.500716e+05,3.477672e+05
443,131072,-3.961141e+04,3.961141e+04
453,512,-8.874396e+04,8.618838e+04
453,2048,-3.169571e+03,2.270725e+03
443,4096,-3.027987e+03,2.825400e+03
393,262144,-3.787202e+04,3.787202e+04
463,4096,-3.395407e+03,3.265363e+03
403,48,-3.813728e+06,3.813708e+06
403,8192,-2.626188e+03,2.552123e+03
343,24,-4.203382e+06,4.203381e+06
383,256,-2.650660e+06,2.650019e+06
423,262144,-3.415304e+04,3.415304e+04
493,4096,-5.801783e+03,5.729466e+03
443,8192,-1.038518e+04,1.035991e+04
403,256,-1.919608e+06,1.918343e+06
383,2048,-1.123117e+04,9.543374e+03
443,524288,-4.644286e+04,4.644286e+04
453,48,-3.440012e+06,3.439841e+06
363,64,-4.059704e+06,4.059668e+06
413,2048,-5.316133e+03,4.024750e+03
483,65536,-2.725019e+04,2.725019e+04
493,262144,-4.045732e+04,4.045732e+04
373,48,-4.008147e+06,4.008134e+06
353,65536,-2.327042e+04,2.326967e+04
463,1024,-1.060925e+04,8.825285e+03
453,256,-6.492582e+05,6.476078e+05
383,32768,-2.406846e+04,2.406624e+04
393,16384,-1.109792e+04,1.108446e+04
423,4096,-2.431509e+03,2.108870e+03
463,8192,-1.256978e+04,1.255259e+04
413,4096,-2.604605e+03,2.196497e+03
423,131072,-4.636193e+04,4.636190e+04
363,32768,-1.723397e+04,1.723008e+04
473,64,-3.029108e+06,3.028682e+06
363,48,-4.066992e+06,4.066973e+06
393,1024,-5.670269e+04,5.514633e+04
443,48,-3.521065e+06,3.520892e+06
403,128,-3.357195e+06,3.356443e+06
453,262144,-2.987699e+04,2.987699e+04
353,2048,-3.059709e+04,2.909202e+04
433,24,-3.675708e+06,3.675682e+06
413,48,-3.746167e+06,3.746085e+06
383,48,-3.945705e+06,3.945668e+06
413,128,-3.163136e+06,3.162477e+06
483,512,-4.727868e+04,4.549467e+04
453,128,-2.258733e+06,2.257568e+06
363,2048,-2.225766e+04,1.956315e+04
353,16384,-3.456356e+03,3.401509e+03
433,16384,-1.632609e+04,1.632173e+04
483,48,-3.163073e+06,3.162831e+06
493,1024,-6.794233e+03,5.141759e+03
443,512,-1.118829e+05,1.090666e+05
493,2048,-3.064427e+03,2.540438e+03
473,512,-5.935958e+04,5.597125e+04
453,65536,-2.482369e+04,2.482365e+04
413,256,-1.575331e+06,1.573058e+06
373,128,-3.838451e+06,3.838237e+06
493,65536,-6.351383e+04,6.351373e+04
483,64,-2.900109e+06,2.899422e+06
353,1024,-2.777227e+05,2.760904e+05
473,256,-4.260473e+05,4.253913e+05
383,128,-3.694031e+06,3.693725e+06
453,8192,-1.468293e+04,1.466292e+04
443,1024,-1.574350e+04,1.371331e+04
373,8192,-4.370179e+03,4.169651e+03
343,131072,-2.749919e+04,2.749908e+04
373,16384,-1.026542e+04,1.023958e+04
493,256,-2.891214e+05,2.880441e+05
343,48,-4.191143e+06,4.191139e+06
393,65536,-2.451534e+04,2.451508e+04
493,524288,-5.206402e+04,5.206402e+04
493,16384,-1.867669e+04,1.867530e+04
363,8192,-2.961299e+03,2.685599e+03
