"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dU mean [kJ/mol]","dU standard deviation [kJ/mol]"
343,64,-2.677471e+01,2.518599e+01
423,512,-1.465626e+01,1.465780e+01
373,4096,-1.591549e+01,1.693325e+01
393,1024,-1.502844e+01,1.503926e+01
343,1024,-1.617347e+01,1.617863e+01
493,16384,-1.545489e+01,4.371304e+01
453,64,-1.610475e+01,1.606660e+01
413,1024,-1.488784e+01,1.489991e+01
383,128,-1.690410e+01,1.688055e+01
473,256,-1.393499e+01,1.393206e+01
423,64,-1.772828e+01,1.767530e+01
433,4096,-1.497489e+01,1.582481e+01
473,2048,-1.446387e+01,1.457981e+01
443,1024,-1.426260e+01,1.427432e+01
383,8192,-1.301511e+01,1.863292e+01
443,128,-1.469367e+01,1.468146e+01
353,64,-2.415886e+01,2.403944e+01
383,256,-1.549664e+01,1.548871e+01
353,8192,-1.456940e+01,1.766078e+01
353,2048,-1.574188e+01,1.577929e+01
383,2048,-1.528715e+01,1.531251e+01
353,4096,-1.614979e+01,1.673654e+01
363,512,-1.583946e+01,1.583818e+01
343,48,-2.654836e+01,2.568110e+01
483,8192,-1.356285e+01,2.214804e+01
483,4096,-1.445359e+01,1.486478e+01
343,4096,-1.643878e+01,1.679193e+01
363,24,-2.434764e+01,2.411691e+01
493,512,-1.360639e+01,1.360994e+01
403,8192,-1.597156e+01,1.936046e+01
373,8192,-1.516307e+01,1.917994e+01
403,512,-1.499339e+01,1.499151e+01
493,4096,-1.235518e+01,1.381351e+01
413,4096,-1.515580e+01,1.613088e+01
473,4096,-1.396058e+01,1.801645e+01
373,128,-1.759788e+01,1.757388e+01
393,128,-1.653943e+01,1.652897e+01
433,48,-1.826395e+01,1.819228e+01
423,128,-1.530994e+01,1.528846e+01
373,2048,-1.571553e+01,1.579464e+01
453,512,-1.426723e+01,1.426999e+01
413,8192,-1.352513e+01,1.561747e+01
443,4096,-1.505991e+01,1.647095e+01
423,24,-2.041920e+01,1.994757e+01
463,16384,-1.690153e+01,4.780475e+01
383,16384,-1.916626e+01,5.421038e+01
383,512,-1.532970e+01,1.532821e+01
373,24,-2.380529e+01,2.336406e+01
353,16384,-1.125549e+01,3.183534e+01
373,16384,-1.507536e+01,3.015072e+01
463,512,-1.401839e+01,1.400749e+01
463,128,-1.429628e+01,1.429185e+01
353,256,-1.640169e+01,1.639193e+01
443,512,-1.432327e+01,1.432457e+01
363,8192,-1.663835e+01,1.848705e+01
463,1024,-1.394309e+01,1.395296e+01
393,2048,-1.544707e+01,1.557407e+01
393,256,-1.527638e+01,1.527441e+01
493,64,-1.473641e+01,1.471925e+01
383,64,-2.103853e+01,2.083736e+01
413,256,-1.489001e+01,1.488740e+01
433,512,-1.442163e+01,1.442277e+01
423,1024,-1.465384e+01,1.465993e+01
443,2048,-1.467036e+01,1.477120e+01
423,4096,-1.571912e+01,1.660150e+01
483,256,-1.376213e+01,1.375985e+01
403,4096,-1.494654e+01,1.599738e+01
453,8192,-1.624496e+01,2.366668e+01
363,128,-1.857906e+01,1.846329e+01
343,24,-2.631404e+01,2.608158e+01
393,4096,-1.519602e+01,1.581765e+01
443,64,-1.660105e+01,1.655880e+01
343,128,-2.114988e+01,2.107133e+01
423,256,-1.474766e+01,1.474383e+01
403,16384,-2.106269e+01,5.957428e+01
433,8192,-1.432059e+01,3.019045e+01
493,128,-1.377450e+01,1.376968e+01
473,1024,-1.400187e+01,1.402057e+01
483,64,-1.508258e+01,1.504217e+01
443,24,-1.916240e+01,1.888792e+01
473,512,-1.391002e+01,1.390805e+01
463,24,-1.820910e+01,1.804451e+01
403,256,-1.510919e+01,1.510374e+01
383,4096,-1.566870e+01,1.621531e+01
423,2048,-1.482415e+01,1.494050e+01
393,8192,-1.605089e+01,2.511838e+01
443,48,-1.772239e+01,1.761310e+01
493,8192,-1.567577e+01,2.090103e+01
393,64,-2.006917e+01,1.999353e+01
383,24,-2.339758e+01,2.256475e+01
373,1024,-1.543810e+01,1.545078e+01
413,128,-1.562536e+01,1.561235e+01
343,2048,-1.606471e+01,1.609068e+01
453,2048,-1.434011e+01,1.447002e+01
363,64,-2.314845e+01,2.301288e+01
393,24,-2.212351e+01,2.169734e+01
403,64,-1.915252e+01,1.908147e+01
353,512,-1.596528e+01,1.596491e+01
483,512,-1.375099e+01,1.374873e+01
453,4096,-1.423727e+01,1.580658e+01
343,512,-1.616951e+01,1.616506e+01
433,128,-1.493134e+01,1.491824e+01
433,1024,-1.442853e+01,1.445114e+01
413,512,-1.481104e+01,1.480533e+01
383,1024,-1.532488e+01,1.533722e+01
393,48,-2.118833e+01,2.103685e+01
463,8192,-1.256439e+01,2.051757e+01
483,24,-1.731661e+01,1.721623e+01
423,8192,-1.666915e+01,2.635625e+01
493,24,-1.695826e+01,1.684723e+01
433,64,-1.721569e+01,1.714001e+01
453,48,-1.719791e+01,1.712872e+01
463,48,-1.668220e+01,1.664138e+01
453,24,-1.856420e+01,1.839232e+01
363,2048,-1.587562e+01,1.598489e+01
463,256,-1.405533e+01,1.405143e+01
493,1024,-1.379676e+01,1.381349e+01
463,2048,-1.408089e+01,1.420268e+01
413,64,-1.837465e+01,1.830759e+01
473,128,-1.413377e+01,1.411467e+01
463,64,-1.579100e+01,1.576024e+01
483,1024,-1.385666e+01,1.388041e+01
363,16384,-1.000993e+01,2.001986e+01
413,24,-2.066168e+01,2.051330e+01
473,24,-1.782040e+01,1.758271e+01
423,16384,-1.691151e+01,4.783297e+01
413,48,-1.973196e+01,1.958063e+01
373,256,-1.570168e+01,1.569699e+01
493,256,-1.364625e+01,1.364337e+01
433,2048,-1.468510e+01,1.483824e+01
453,128,-1.448691e+01,1.447938e+01
363,1024,-1.574456e+01,1.575193e+01
473,48,-1.630839e+01,1.625252e+01
483,2048,-1.287552e+01,1.311943e+01
493,2048,-1.357087e+01,1.374583e+01
403,24,-2.134793e+01,2.111376e+01
343,8192,-1.596510e+01,1.862207e+01
453,1024,-1.417418e+01,1.420268e+01
373,512,-1.559868e+01,1.559940e+01
473,8192,-1.188582e+01,1.680909e+01
363,256,-1.606838e+01,1.605309e+01
413,2048,-1.510211e+01,1.531552e+01
393,512,-1.518527e+01,1.517539e+01
403,128,-1.594753e+01,1.591578e+01
373,64,-2.193612e+01,2.179346e+01
493,48,-1.553300e+01,1.548924e+01
423,48,-1.897445e+01,1.884839e+01
473,64,-1.534457e+01,1.531462e+01
463,4096,-1.383810e+01,1.491946e+01
403,1024,-1.503664e+01,1.505594e+01
453,256,-1.421845e+01,1.421609e+01
403,48,-2.033235e+01,2.019408e+01
373,48,-2.284529e+01,2.271899e+01
483,48,-1.586509e+01,1.582422e+01
433,256,-1.457219e+01,1.456744e+01
353,128,-1.964637e+01,1.960034e+01
483,128,-1.393414e+01,1.392734e+01
443,256,-1.437217e+01,1.436874e+01
353,48,-2.499957e+01,2.460244e+01
383,48,-2.205010e+01,2.183972e+01
353,1024,-1.590067e+01,1.591193e+01
403,2048,-1.469853e+01,1.476390e+01
363,48,-2.404272e+01,2.378012e+01
443,8192,-1.280499e+01,1.920749e+01
353,24,-2.579207e+01,2.501986e+01
363,4096,-1.592118e+01,1.661027e+01
433,24,-1.961536e+01,1.934129e+01
343,256,-1.690752e+01,1.689822e+01
